"Fila","Columna","Damerau_Levenshtein","Jaccard","Cosine","Hamming","Sorensen_Dice","Jaro_Winkler","columna_name","fila_name"
472,57492,3.671,0.442,0.1692,3.7677,0.1991,0.1195,"ARID1B","ATM"
472,23394,3.6905,0.4227,0.1629,3.8214,0.1957,0.1174,"ADNP","ATM"
472,171023,3.5707,0.426,0.1671,3.6685,0.194,0.1164,"ASXL1","ATM"
472,51412,3.7463,0.434,0.1821,3.8731,0.2043,0.1226,"ACTL6B","ATM"
472,196528,3.7239,0.4086,0.1619,3.8284,0.1944,0.1166,"ARID2","ATM"
472,60,3.6266,0.4098,0.1578,3.7532,0.1899,0.1141,"ACTB","ATM"
472,80816,3.6343,0.4233,0.1561,3.7463,0.1901,0.1141,"ASXL3","ATM"
472,55252,3.6194,0.4159,0.1644,3.7313,0.1948,0.1169,"ASXL2","ATM"
472,8289,3.6791,0.4159,0.1687,3.791,0.1963,0.1178,"ARID1A","ATM"
472,55870,3.597,0.404,0.1554,3.7313,0.1902,0.1141,"ASH1L","ATM"
545,80816,3.6698,0.4356,0.16,3.7264,0.1964,0.1178,"ASXL3","ATR"
545,196528,3.5437,0.4304,0.1641,3.6214,0.1965,0.1179,"ARID2","ATR"
545,23394,3.6726,0.4288,0.1625,3.7381,0.1984,0.119,"ADNP","ATR"
545,55252,3.5595,0.4406,0.1628,3.6905,0.1966,0.1179,"ASXL2","ATR"
545,55870,3.6071,0.426,0.158,3.7024,0.1937,0.1162,"ASH1L","ATR"
545,60,3.5759,0.4245,0.1623,3.6835,0.1953,0.1173,"ACTB","ATR"
545,1822,3.6421,0.4364,0.1668,3.7579,0.1954,0.1172,"ATN1","ATR"
545,171023,3.6359,0.4195,0.1648,3.7391,0.194,0.1164,"ASXL1","ATR"
545,51412,3.6071,0.4415,0.1753,3.6667,0.2016,0.121,"ACTL6B","ATR"
545,472,3.6716,0.4316,0.1733,3.7612,0.1977,0.1186,"ATM","ATR"
545,57492,3.471,0.4191,0.1626,3.5161,0.1897,0.1138,"ARID1B","ATR"
545,8289,3.6629,0.4376,0.1768,3.7303,0.199,0.1194,"ARID1A","ATR"
546,196528,3.6076,0.4281,0.1627,3.6709,0.1971,0.1183,"ARID2","ATRX"
546,23394,3.6371,0.4137,0.1551,3.7426,0.1896,0.1139,"ADNP","ATRX"
