"disease_ontology_id_version","ndd_phenotype"
"OMIM:608569",0
"OMIM:614050",0
"OMIM:300100_1",1
"OMIM:614857",1
"OMIM:275630",1
"OMIM:611126",1
"OMIM:614559",1
"OMIM:264470",1
"OMIM:614265",1
"OMIM:300387",1
"OMIM:243310",1
"OMIM:607371",1
"OMIM:614583",1
"OMIM:604717",0
"OMIM:135100",1
"OMIM:615010",1
"OMIM:127400",0
"OMIM:612016",1
"OMIM:103050",1
"OMIM:309548",1
"OMIM:208400",1
"OMIM:608594",1
"MONDO:0001071",1
"OMIM:613752",1
"OMIM:608629",1
"OMIM:300816",1
"OMIM:310490",1
"OMIM:260600",1
"OMIM:612631",1
"OMIM:615937",1
"OMIM:219150",1
"OMIM:270200",1
"OMIM:271980",1
"OMIM:608540",1
"OMIM:607143",1
"OMIM:607906",1
"OMIM:601110",1
"OMIM:603147",1
"OMIM:608776",1
"MONDO:0700096_1",1
"MONDO:0002254",1
"OMIM:123000",0
"OMIM:118600",0
"OMIM:148050",1
"OMIM:613728",1
"OMIM:609313",1
"OMIM:304340",1
"OMIM:608233",1
"OMIM:614066",1
"OMIM:613744",1
"OMIM:614067",1
"OMIM:208920",1
"OMIM:608097",1
"MONDO:0001071",1
"OMIM:614607",1
"OMIM:135900",1
"OMIM:612291",1
"OMIM:605231",1
"OMIM:613575",0
"OMIM:300419",1
"OMIM:308350",1
"OMIM:309510",1
"OMIM:300004",1
"OMIM:300215_2",1
"OMIM:207900",1
"OMIM:271900",1
"OMIM:608716",1
"OMIM:605039",1
"OMIM:104290",1
"OMIM:602481_2",0
"OMIM:124200",1
"OMIM:101900",0
"OMIM:300423",1
"OMIM:219200",1
"OMIM:278250",1
"OMIM:309400",1
"OMIM:304150",1
"OMIM:300489",0
"OMIM:210600",1
"OMIM:614564",0
"OMIM:301040",1
"OMIM:309580",1
"OMIM:250950",1
"OMIM:615834",1
"OMIM:261540",1
"OMIM:607091",1
"OMIM:130070",1
"OMIM:209900_5",1
"OMIM:615987",1
"OMIM:615989",1
"OMIM:616562",1
"OMIM:615982",1
"OMIM:615983",1
"OMIM:615984",1
"OMIM:615986",1
"MONDO:0700096_1",1
"MONDO:0700096_1",1
"OMIM:124000",1
"OMIM:262000",0
"OMIM:603358",0
"OMIM:210900",1
"OMIM:115150",1
"OMIM:613707",1
"OMIM:613706",1
"OMIM:300659",1
"OMIM:269700",1
"OMIM:270685",0
"OMIM:600794",0
"OMIM:257300",1
"OMIM:614615",1
"OMIM:259730",1
"OMIM:601005",1
