"ID","Frecuencia","Porcentaje","Frecuencia_Acumulada","Porcentaje_Acumulado"
"HP:0000316",86,1.473,86,1.473
"HP:0000369",80,1.37,166,2.842
"HP:0000494",68,1.164,234,4.007
"HP:0005280",63,1.079,297,5.086
"HP:0000463",61,1.045,358,6.13
"HP:0002020",60,1.027,418,7.158
"HP:0000219",59,1.01,477,8.168
"HP:0007018",59,1.01,536,9.178
"HP:0000358",57,0.976,593,10.154
"HP:0000431",56,0.959,649,11.113
"HP:0000582",53,0.908,702,12.021
"HP:0000343",50,0.856,752,12.877
"HP:0000455",50,0.856,802,13.733
"HP:0001344",49,0.839,851,14.572
"HP:0000154",48,0.822,899,15.394
"HP:0010864",48,0.822,947,16.216
"HP:0000322",42,0.719,989,16.935
"HP:0000490",42,0.719,1031,17.654
"HP:0000574",42,0.719,1073,18.373
"HP:0003196",42,0.719,1115,19.092
"HP:0001256",40,0.685,1155,19.777
"HP:0002007",38,0.651,1193,20.428
"HP:0002553",37,0.634,1230,21.062
"HP:0000664",36,0.616,1266,21.678
"HP:0011220",36,0.616,1302,22.295
"HP:0000023",35,0.599,1337,22.894
"HP:0000414",35,0.599,1372,23.493
"HP:0000717",34,0.582,1406,24.075
"HP:0002714",34,0.582,1440,24.658
"HP:0000348",32,0.548,1472,25.205
"HP:0000426",32,0.548,1504,25.753
"HP:0001537",32,0.548,1536,26.301
"HP:0031936",32,0.548,1568,26.849
"HP:0000294",30,0.514,1598,27.363
"HP:0000470",30,0.514,1628,27.877
"HP:0002342",30,0.514,1658,28.39
"HP:0000303",29,0.497,1687,28.887
"HP:0000126",28,0.479,1715,29.366
"HP:0000179",28,0.479,1743,29.846
"HP:0000319",28,0.479,1771,30.325
"HP:0001182",28,0.479,1799,30.805
"HP:0000276",27,0.462,1826,31.267
"HP:0000506",27,0.462,1853,31.729
"HP:0011800",27,0.462,1880,32.192
"HP:0000054",26,0.445,1906,32.637
"HP:0000160",26,0.445,1932,33.082
"HP:0001773",26,0.445,1958,33.527
"HP:0000403",25,0.428,1983,33.955
"HP:0012450",24,0.411,2007,34.366
"HP:0000337",23,0.394,2030,34.76
"HP:0001852",23,0.394,2053,35.154
"HP:0000272",22,0.377,2075,35.531
"HP:0000445",22,0.377,2097,35.908
"HP:0001561",22,0.377,2119,36.284
"HP:0008947",22,0.377,2141,36.661
"HP:0000411",21,0.36,2162,37.021
"HP:0000448",21,0.36,2183,37.38
"HP:0002162",21,0.36,2204,37.74
"HP:0200055",21,0.36,2225,38.099
"HP:0000085",20,0.342,2245,38.442
"HP:0012745",20,0.342,2265,38.784
"HP:0001518",19,0.325,2284,39.11
"HP:0002188",19,0.325,2303,39.435
"HP:0000232",18,0.308,2321,39.743
"HP:0000307",18,0.308,2339,40.051
"HP:0008936",18,0.308,2357,40.36
"HP:0000193",17,0.291,2374,40.651
"HP:0000430",17,0.291,2391,40.942
"HP:0000629",17,0.291,2408,41.233
"HP:0000712",17,0.291,2425,41.524
"HP:0000960",17,0.291,2442,41.815
"HP:0001655",17,0.291,2459,42.106
"HP:0001761",17,0.291,2476,42.397
"HP:0002002",17,0.291,2493,42.688
"HP:0002705",17,0.291,2510,42.979
"HP:0009879",17,0.291,2527,43.271
"HP:0045025",17,0.291,2544,43.562
"HP:0000293",16,0.274,2560,43.836
"HP:0000378",16,0.274,2576,44.11
"HP:0000716",16,0.274,2592,44.384
"HP:0001212",16,0.274,2608,44.658
"HP:0004279",16,0.274,2624,44.932
"HP:0004691",16,0.274,2640,45.205
"HP:0009765",16,0.274,2656,45.479
"HP:0011344",16,0.274,2672,45.753
"HP:0000289",15,0.257,2687,46.01
"HP:0000325",15,0.257,2702,46.267
"HP:0002465",15,0.257,2717,46.524
"HP:0000384",14,0.24,2731,46.764
"HP:0000637",14,0.24,2745,47.003
"HP:0000678",14,0.24,2759,47.243
"HP:0001305",14,0.24,2773,47.483
"HP:0001601",14,0.24,2787,47.723
"HP:0002023",14,0.24,2801,47.962
"HP:0002307",14,0.24,2815,48.202
"HP:0006610",14,0.24,2829,48.442
"HP:0009928",14,0.24,2843,48.682
"HP:0012810",14,0.24,2857,48.921
"HP:0000341",13,0.223,2870,49.144
"HP:0000709",13,0.223,2883,49.366
"HP:0001166",13,0.223,2896,49.589
"HP:0001845",13,0.223,2909,49.812
"HP:0010804",13,0.223,2922,50.034
"HP:0000311",12,0.205,2934,50.24
"HP:0000612",12,0.205,2946,50.445
"HP:0000668",12,0.205,2958,50.651
"HP:0000670",12,0.205,2970,50.856
"HP:0002033",12,0.205,2982,51.062
"HP:0002136",12,0.205,2994,51.267
"HP:0005487",12,0.205,3006,51.473
"HP:0100710",12,0.205,3018,51.678
"HP:0000275",11,0.188,3029,51.866
"HP:0000331",11,0.188,3040,52.055
"HP:0000340",11,0.188,3051,52.243
"HP:0000389",11,0.188,3062,52.432
"HP:0000444",11,0.188,3073,52.62
"HP:0000482",11,0.188,3084,52.808
"HP:0000646",11,0.188,3095,52.997
"HP:0000737",11,0.188,3106,53.185
"HP:0002021",11,0.188,3117,53.373
"HP:0008734",11,0.188,3128,53.562
"HP:0011231",11,0.188,3139,53.75
"HP:0000297",10,0.171,3149,53.921
"HP:0000601",10,0.171,3159,54.092
"HP:0000958",10,0.171,3169,54.264
"HP:0002000",10,0.171,3179,54.435
"HP:0002213",10,0.171,3189,54.606
"HP:0002558",10,0.171,3199,54.777
"HP:0002870",10,0.171,3209,54.949
"HP:0011937",10,0.171,3219,55.12
"HP:0012368",10,0.171,3229,55.291
"HP:0025336",10,0.171,3239,55.462
"HP:0000003",9,0.154,3248,55.616
"HP:0000044",9,0.154,3257,55.771
"HP:0000122",9,0.154,3266,55.925
"HP:0000965",9,0.154,3275,56.079
"HP:0001548",9,0.154,3284,56.233
"HP:0002039",9,0.154,3293,56.387
"HP:0002263",9,0.154,3302,56.541
"HP:0002591",9,0.154,3311,56.695
"HP:0002878",9,0.154,3320,56.849
"HP:0002884",9,0.154,3329,57.003
"HP:0002895",9,0.154,3338,57.158
"HP:0003189",9,0.154,3347,57.312
"HP:0007099",9,0.154,3356,57.466
"HP:0007874",9,0.154,3365,57.62
"HP:0008398",9,0.154,3374,57.774
"HP:0012523",9,0.154,3383,57.928
"HP:0000243",8,0.137,3391,58.065
"HP:0000321",8,0.137,3399,58.202
"HP:0000457",8,0.137,3407,58.339
"HP:0000465",8,0.137,3415,58.476
"HP:0001545",8,0.137,3423,58.613
"HP:0001562",8,0.137,3431,58.75
"HP:0001650",8,0.137,3439,58.887
"HP:0001684",8,0.137,3447,59.024
"HP:0002230",8,0.137,3455,59.161
"HP:0003186",8,0.137,3463,59.298
"HP:0003510",8,0.137,3471,59.435
"HP:0005338",8,0.137,3479,59.572
"HP:0006956",8,0.137,3487,59.709
"HP:0009623",8,0.137,3495,59.846
"HP:0010862",8,0.137,3503,59.983
"HP:0000176",7,0.12,3510,60.103
"HP:0000212",7,0.12,3517,60.223
"HP:0000437",7,0.12,3524,60.342
"HP:0000519",7,0.12,3531,60.462
"HP:0001176",7,0.12,3538,60.582
"HP:0001611",7,0.12,3545,60.702
"HP:0001822",7,0.12,3552,60.822
"HP:0002028",7,0.12,3559,60.942
"HP:0002144",7,0.12,3566,61.062
"HP:0002187",7,0.12,3573,61.182
"HP:0002557",7,0.12,3580,61.301
"HP:0002804",7,0.12,3587,61.421
"HP:0003487",7,0.12,3594,61.541
"HP:0004383",7,0.12,3601,61.661
"HP:0004467",7,0.12,3608,61.781
"HP:0007598",7,0.12,3615,61.901
"HP:0009909",7,0.12,3622,62.021
"HP:0010300",7,0.12,3629,62.14
"HP:0010803",7,0.12,3636,62.26
"HP:0010808",7,0.12,3643,62.38
"HP:0011098",7,0.12,3650,62.5
"HP:0011342",7,0.12,3657,62.62
"HP:0012469",7,0.12,3664,62.74
"HP:0100704",7,0.12,3671,62.86
"HP:0000074",6,0.103,3677,62.962
"HP:0000125",6,0.103,3683,63.065
"HP:0000253",6,0.103,3689,63.168
"HP:0000283",6,0.103,3695,63.271
"HP:0000308",6,0.103,3701,63.373
"HP:0000588",6,0.103,3707,63.476
"HP:0000592",6,0.103,3713,63.579
"HP:0000695",6,0.103,3719,63.682
"HP:0000744",6,0.103,3725,63.784
"HP:0000938",6,0.103,3731,63.887
"HP:0001169",6,0.103,3737,63.99
"HP:0001181",6,0.103,3743,64.092
"HP:0001264",6,0.103,3749,64.195
"HP:0001308",6,0.103,3755,64.298
"HP:0001612",6,0.103,3761,64.401
"HP:0001653",6,0.103,3767,64.503
"HP:0001769",6,0.103,3773,64.606
"HP:0001833",6,0.103,3779,64.709
"HP:0002025",6,0.103,3785,64.812
"HP:0002236",6,0.103,3791,64.914
"HP:0002365",6,0.103,3797,65.017
"HP:0002421",6,0.103,3803,65.12
"HP:0002521",6,0.103,3809,65.223
"HP:0002580",6,0.103,3815,65.325
"HP:0002866",6,0.103,3821,65.428
"HP:0004326",6,0.103,3827,65.531
"HP:0006863",6,0.103,3833,65.634
"HP:0007302",6,0.103,3839,65.736
"HP:0008081",6,0.103,3845,65.839
"HP:0008850",6,0.103,3851,65.942
"HP:0010880",6,0.103,3857,66.045
"HP:0011451",6,0.103,3863,66.147
"HP:0020206",6,0.103,3869,66.25
"HP:0030051",6,0.103,3875,66.353
"HP:0100023",6,0.103,3881,66.455
"HP:0000059",5,0.086,3886,66.541
"HP:0000215",5,0.086,3891,66.627
"HP:0000385",5,0.086,3896,66.712
"HP:0000391",5,0.086,3901,66.798
"HP:0000446",5,0.086,3906,66.884
"HP:0000485",5,0.086,3911,66.969
"HP:0000667",5,0.086,3916,67.055
"HP:0000771",5,0.086,3921,67.14
"HP:0000774",5,0.086,3926,67.226
"HP:0000786",5,0.086,3931,67.312
"HP:0000817",5,0.086,3936,67.397
"HP:0000878",5,0.086,3941,67.483
"HP:0000956",5,0.086,3946,67.568
"HP:0000978",5,0.086,3951,67.654
"HP:0001065",5,0.086,3956,67.74
"HP:0001338",5,0.086,3961,67.825
"HP:0001531",5,0.086,3966,67.911
"HP:0001741",5,0.086,3971,67.997
"HP:0001838",5,0.086,3976,68.082
"HP:0001882",5,0.086,3981,68.168
"HP:0002057",5,0.086,3986,68.253
"HP:0002141",5,0.086,3991,68.339
"HP:0002938",5,0.086,3996,68.425
"HP:0002967",5,0.086,4001,68.51
"HP:0003396",5,0.086,4006,68.596
"HP:0005469",5,0.086,4011,68.682
"HP:0006335",5,0.086,4016,68.767
"HP:0006895",5,0.086,4021,68.853
"HP:0006970",5,0.086,4026,68.938
"HP:0006989",5,0.086,4031,69.024
"HP:0007665",5,0.086,4036,69.11
"HP:0008689",5,0.086,4041,69.195
"HP:0010034",5,0.086,4046,69.281
"HP:0010751",5,0.086,4051,69.366
"HP:0011003",5,0.086,4056,69.452
"HP:0011228",5,0.086,4061,69.538
"HP:0011470",5,0.086,4066,69.623
"HP:0011682",5,0.086,4071,69.709
"HP:0012171",5,0.086,4076,69.795
"HP:0025269",5,0.086,4081,69.88
"HP:0025502",5,0.086,4086,69.966
"HP:0200021",5,0.086,4091,70.051
"HP:0200136",5,0.086,4096,70.137
"HP:0000049",4,0.068,4100,70.205
"HP:0000201",4,0.068,4104,70.274
"HP:0000260",4,0.068,4108,70.342
"HP:0000387",4,0.068,4112,70.411
"HP:0000537",4,0.068,4116,70.479
"HP:0000627",4,0.068,4120,70.548
"HP:0000679",4,0.068,4124,70.616
"HP:0000802",4,0.068,4128,70.685
"HP:0000869",4,0.068,4132,70.753
"HP:0001177",4,0.068,4136,70.822
"HP:0001262",4,0.068,4140,70.89
"HP:0001348",4,0.068,4144,70.959
"HP:0001566",4,0.068,4148,71.027
"HP:0001640",4,0.068,4152,71.096
"HP:0001747",4,0.068,4156,71.164
"HP:0001840",4,0.068,4160,71.233
"HP:0002110",4,0.068,4164,71.301
"HP:0002172",4,0.068,4168,71.37
"HP:0002280",4,0.068,4172,71.438
"HP:0002389",4,0.068,4176,71.507
"HP:0002398",4,0.068,4180,71.575
"HP:0002516",4,0.068,4184,71.644
"HP:0002653",4,0.068,4188,71.712
"HP:0002761",4,0.068,4192,71.781
"HP:0002920",4,0.068,4196,71.849
"HP:0002987",4,0.068,4200,71.918
"HP:0003324",4,0.068,4204,71.986
"HP:0004482",4,0.068,4208,72.055
"HP:0004886",4,0.068,4212,72.123
"HP:0005180",4,0.068,4216,72.192
"HP:0006191",4,0.068,4220,72.26
"HP:0006349",4,0.068,4224,72.329
"HP:0006579",4,0.068,4228,72.397
"HP:0007021",4,0.068,4232,72.466
"HP:0007678",4,0.068,4236,72.534
"HP:0008665",4,0.068,4240,72.603
"HP:0009027",4,0.068,4244,72.671
"HP:0009748",4,0.068,4248,72.74
"HP:0010296",4,0.068,4252,72.808
"HP:0010314",4,0.068,4256,72.877
"HP:0010534",4,0.068,4260,72.945
"HP:0010761",4,0.068,4264,73.014
"HP:0010997",4,0.068,4268,73.082
"HP:0011133",4,0.068,4272,73.151
"HP:0011359",4,0.068,4276,73.219
"HP:0011471",4,0.068,4280,73.288
"HP:0012166",4,0.068,4284,73.356
"HP:0012520",4,0.068,4288,73.425
"HP:0012584",4,0.068,4292,73.493
"HP:0025161",4,0.068,4296,73.562
"HP:0025268",4,0.068,4300,73.63
"HP:0030341",4,0.068,4304,73.699
"HP:0030344",4,0.068,4308,73.767
"HP:0030434",4,0.068,4312,73.836
"HP:0031020",4,0.068,4316,73.904
"HP:0031245",4,0.068,4320,73.973
"HP:0032989",4,0.068,4324,74.041
"HP:0034295",4,0.068,4328,74.11
"HP:0040080",4,0.068,4332,74.178
"HP:0040171",4,0.068,4336,74.247
"HP:0100025",4,0.068,4340,74.315
"HP:0100753",4,0.068,4344,74.384
"HP:0200134",4,0.068,4348,74.452
"HP:0000026",3,0.051,4351,74.503
"HP:0000046",3,0.051,4354,74.555
"HP:0000081",3,0.051,4357,74.606
"HP:0000113",3,0.051,4360,74.658
"HP:0000151",3,0.051,4363,74.709
"HP:0000188",3,0.051,4366,74.76
"HP:0000225",3,0.051,4369,74.812
"HP:0000273",3,0.051,4372,74.863
"HP:0000410",3,0.051,4375,74.914
"HP:0000456",3,0.051,4378,74.966
"HP:0000460",3,0.051,4381,75.017
"HP:0000475",3,0.051,4384,75.068
"HP:0000524",3,0.051,4387,75.12
"HP:0000657",3,0.051,4390,75.171
"HP:0000713",3,0.051,4393,75.223
"HP:0000741",3,0.051,4396,75.274
"HP:0000778",3,0.051,4399,75.325
"HP:0000825",3,0.051,4402,75.377
"HP:0000870",3,0.051,4405,75.428
"HP:0000879",3,0.051,4408,75.479
"HP:0000963",3,0.051,4411,75.531
"HP:0000967",3,0.051,4414,75.582
"HP:0001085",3,0.051,4417,75.634
"HP:0001136",3,0.051,4420,75.685
"HP:0001188",3,0.051,4423,75.736
"HP:0001195",3,0.051,4426,75.788
"HP:0001362",3,0.051,4429,75.839
"HP:0001519",3,0.051,4432,75.89
"HP:0001539",3,0.051,4435,75.942
"HP:0001620",3,0.051,4438,75.993
"HP:0001659",3,0.051,4441,76.045
"HP:0001738",3,0.051,4444,76.096
"HP:0001765",3,0.051,4447,76.147
"HP:0001776",3,0.051,4450,76.199
"HP:0001808",3,0.051,4453,76.25
