"ID","Frecuencia","Porcentaje","Frecuencia_Acumulada","Porcentaje_Acumulado"
"HP:0001263",145,0.984,145,0.984
"HP:0001249",136,0.923,281,1.907
"HP:0001250",131,0.889,412,2.796
"HP:0000252",115,0.781,527,3.577
"HP:0000006",114,0.774,641,4.351
"HP:0001252",112,0.76,753,5.111
"HP:0000750",107,0.726,860,5.837
"HP:0004322",95,0.645,955,6.482
"HP:0000486",93,0.631,1048,7.113
"HP:0000028",87,0.591,1135,7.704
"HP:0000316",86,0.584,1221,8.288
"HP:0011968",83,0.563,1304,8.851
"HP:0000369",80,0.543,1384,9.394
"HP:0002650",80,0.543,1464,9.937
"HP:0003593",80,0.543,1544,10.48
"HP:0000729",78,0.529,1622,11.009
"HP:0000286",75,0.509,1697,11.518
"HP:0000347",68,0.462,1765,11.98
"HP:0000494",68,0.462,1833,12.441
"HP:0001382",67,0.455,1900,12.896
"HP:0005280",63,0.428,1963,13.324
"HP:0001508",62,0.421,2025,13.745
"HP:0000463",61,0.414,2086,14.159
"HP:0000508",61,0.414,2147,14.573
"HP:0002020",60,0.407,2207,14.98
"HP:0000219",59,0.4,2266,15.38
"HP:0000365",59,0.4,2325,15.781
"HP:0007018",59,0.4,2384,16.181
"HP:0000218",58,0.394,2442,16.575
"HP:0000358",57,0.387,2499,16.962
"HP:0004209",57,0.387,2556,17.349
"HP:0000431",56,0.38,2612,17.729
"HP:0001629",55,0.373,2667,18.102
"HP:0002119",55,0.373,2722,18.476
"HP:0001511",54,0.367,2776,18.842
"HP:0003577",54,0.367,2830,19.209
"HP:0000582",53,0.36,2883,19.568
"HP:0000718",53,0.36,2936,19.928
"HP:0001270",53,0.36,2989,20.288
"HP:0001631",53,0.36,3042,20.648
"HP:0000047",52,0.353,3094,21
"HP:0001510",51,0.346,3145,21.347
"HP:0000343",50,0.339,3195,21.686
"HP:0000455",50,0.339,3245,22.025
"HP:0001643",50,0.339,3295,22.365
"HP:0001344",49,0.333,3344,22.697
"HP:0008872",49,0.333,3393,23.03
"HP:0000154",48,0.326,3441,23.356
"HP:0001290",48,0.326,3489,23.682
"HP:0010864",48,0.326,3537,24.007
"HP:0000739",47,0.319,3584,24.326
"HP:0000639",43,0.292,3627,24.618
"HP:0000708",43,0.292,3670,24.91
"HP:0002360",43,0.292,3713,25.202
"HP:0000007",42,0.285,3755,25.487
"HP:0000175",42,0.285,3797,25.772
"HP:0000322",42,0.285,3839,26.057
"HP:0000490",42,0.285,3881,26.342
"HP:0000574",42,0.285,3923,26.627
"HP:0003196",42,0.285,3965,26.912
"HP:0000545",40,0.271,4005,27.184
"HP:0001256",40,0.271,4045,27.455
"HP:0000256",39,0.265,4084,27.72
"HP:0000278",39,0.265,4123,27.985
"HP:0002079",39,0.265,4162,28.25
"HP:0001763",38,0.258,4200,28.507
"HP:0002007",38,0.258,4238,28.765
"HP:0001999",37,0.251,4275,29.016
"HP:0002553",37,0.251,4312,29.268
"HP:0000664",36,0.244,4348,29.512
"HP:0000752",36,0.244,4384,29.756
"HP:0001513",36,0.244,4420,30.001
"HP:0011220",36,0.244,4456,30.245
"HP:0000023",35,0.238,4491,30.483
"HP:0000400",35,0.238,4526,30.72
"HP:0000414",35,0.238,4561,30.958
"HP:0001156",35,0.238,4596,31.195
"HP:0002019",35,0.238,4631,31.433
"HP:0002750",35,0.238,4666,31.67
"HP:0000076",34,0.231,4700,31.901
"HP:0000540",34,0.231,4734,32.132
"HP:0000717",34,0.231,4768,32.363
"HP:0001251",34,0.231,4802,32.593
"HP:0002714",34,0.231,4836,32.824
"HP:0000248",33,0.224,4869,33.048
"HP:0000280",33,0.224,4902,33.272
"HP:0000348",32,0.217,4934,33.489
"HP:0000426",32,0.217,4966,33.707
"HP:0000767",32,0.217,4998,33.924
"HP:0001537",32,0.217,5030,34.141
"HP:0031936",32,0.217,5062,34.358
"HP:0000407",31,0.21,5093,34.569
"HP:0000527",31,0.21,5124,34.779
"HP:0000733",31,0.21,5155,34.989
"HP:0001007",31,0.21,5186,35.2
"HP:0000294",30,0.204,5216,35.404
"HP:0000470",30,0.204,5246,35.607
"HP:0001257",30,0.204,5276,35.811
"HP:0001274",30,0.204,5306,36.014
"HP:0001627",30,0.204,5336,36.218
"HP:0002342",30,0.204,5366,36.422
"HP:0002808",30,0.204,5396,36.625
"HP:0008897",30,0.204,5426,36.829
"HP:0000303",29,0.197,5455,37.026
"HP:0000954",29,0.197,5484,37.223
"HP:0001347",29,0.197,5513,37.419
"HP:0002205",29,0.197,5542,37.616
"HP:0000126",28,0.19,5570,37.806
"HP:0000179",28,0.19,5598,37.996
"HP:0000319",28,0.19,5626,38.186
"HP:0001182",28,0.19,5654,38.376
"HP:0030084",28,0.19,5682,38.566
"HP:0000276",27,0.183,5709,38.75
"HP:0000506",27,0.183,5736,38.933
"HP:0000518",27,0.183,5763,39.116
"HP:0011800",27,0.183,5790,39.3
"HP:0000054",26,0.176,5816,39.476
"HP:0000160",26,0.176,5842,39.652
"HP:0000505",26,0.176,5868,39.829
"HP:0000648",26,0.176,5894,40.005
"HP:0001773",26,0.176,5920,40.182
"HP:0011463",26,0.176,5946,40.358
"HP:0000403",25,0.17,5971,40.528
"HP:0001385",25,0.17,5996,40.698
"HP:0001762",25,0.17,6021,40.867
"HP:0030680",25,0.17,6046,41.037
"HP:0000405",24,0.163,6070,41.2
"HP:0000483",24,0.163,6094,41.363
"HP:0000722",24,0.163,6118,41.526
"HP:0001636",24,0.163,6142,41.689
"HP:0002015",24,0.163,6166,41.852
"HP:0002120",24,0.163,6190,42.015
"HP:0002719",24,0.163,6214,42.177
"HP:0012450",24,0.163,6238,42.34
"HP:0100716",24,0.163,6262,42.503
"HP:0000233",23,0.156,6285,42.659
"HP:0000337",23,0.156,6308,42.815
"HP:0000581",23,0.156,6331,42.972
"HP:0000821",23,0.156,6354,43.128
"HP:0001288",23,0.156,6377,43.284
"HP:0001852",23,0.156,6400,43.44
"HP:0000272",22,0.149,6422,43.589
"HP:0000445",22,0.149,6444,43.739
"HP:0000684",22,0.149,6466,43.888
"HP:0000687",22,0.149,6488,44.037
"HP:0001561",22,0.149,6510,44.187
"HP:0008947",22,0.149,6532,44.336
"HP:0000164",21,0.143,6553,44.478
"HP:0000238",21,0.143,6574,44.621
"HP:0000411",21,0.143,6595,44.763
"HP:0000448",21,0.143,6616,44.906
"HP:0000998",21,0.143,6637,45.049
"HP:0001276",21,0.143,6658,45.191
"HP:0002162",21,0.143,6679,45.334
"HP:0008070",21,0.143,6700,45.476
"HP:0008551",21,0.143,6721,45.619
"HP:0200055",21,0.143,6742,45.761
"HP:0000085",20,0.136,6762,45.897
"HP:0003623",20,0.136,6782,46.033
"HP:0012745",20,0.136,6802,46.168
"HP:0000568",19,0.129,6821,46.297
"HP:0001260",19,0.129,6840,46.426
"HP:0001371",19,0.129,6859,46.555
"HP:0001518",19,0.129,6878,46.684
"HP:0001647",19,0.129,6897,46.813
"HP:0002188",19,0.129,6916,46.942
"HP:0000232",18,0.122,6934,47.064
"HP:0000307",18,0.122,6952,47.187
"HP:0002209",18,0.122,6970,47.309
"HP:0008736",18,0.122,6988,47.431
"HP:0008936",18,0.122,7006,47.553
"HP:0011304",18,0.122,7024,47.675
"HP:0000089",17,0.115,7041,47.791
"HP:0000193",17,0.115,7058,47.906
"HP:0000377",17,0.115,7075,48.021
"HP:0000430",17,0.115,7092,48.137
"HP:0000520",17,0.115,7109,48.252
"HP:0000629",17,0.115,7126,48.368
"HP:0000712",17,0.115,7143,48.483
"HP:0000960",17,0.115,7160,48.598
"HP:0001321",17,0.115,7177,48.714
"HP:0001655",17,0.115,7194,48.829
"HP:0001761",17,0.115,7211,48.945
"HP:0001792",17,0.115,7228,49.06
"HP:0002002",17,0.115,7245,49.175
"HP:0002059",17,0.115,7262,49.291
"HP:0002167",17,0.115,7279,49.406
"HP:0002194",17,0.115,7296,49.521
"HP:0002566",17,0.115,7313,49.637
"HP:0002705",17,0.115,7330,49.752
"HP:0009879",17,0.115,7347,49.868
"HP:0012471",17,0.115,7364,49.983
"HP:0045025",17,0.115,7381,50.098
"HP:0000268",16,0.109,7397,50.207
"HP:0000293",16,0.109,7413,50.316
"HP:0000378",16,0.109,7429,50.424
"HP:0000716",16,0.109,7445,50.533
"HP:0000776",16,0.109,7461,50.641
"HP:0001212",16,0.109,7477,50.75
"HP:0001337",16,0.109,7493,50.859
"HP:0001357",16,0.109,7509,50.967
"HP:0001873",16,0.109,7525,51.076
"HP:0002353",16,0.109,7541,51.184
"HP:0004279",16,0.109,7557,51.293
"HP:0004691",16,0.109,7573,51.402
"HP:0009765",16,0.109,7589,51.51
"HP:0011344",16,0.109,7605,51.619
"HP:0012385",16,0.109,7621,51.727
"HP:0000083",15,0.102,7636,51.829
"HP:0000119",15,0.102,7651,51.931
"HP:0000194",15,0.102,7666,52.033
"HP:0000289",15,0.102,7681,52.135
"HP:0000325",15,0.102,7696,52.236
"HP:0000565",15,0.102,7711,52.338
"HP:0000826",15,0.102,7726,52.44
"HP:0001320",15,0.102,7741,52.542
"HP:0001387",15,0.102,7756,52.644
"HP:0001419",15,0.102,7771,52.746
"HP:0001642",15,0.102,7786,52.847
"HP:0001680",15,0.102,7801,52.949
"HP:0002069",15,0.102,7816,53.051
"HP:0002465",15,0.102,7831,53.153
"HP:0002788",15,0.102,7846,53.255
"HP:0002827",15,0.102,7861,53.356
"HP:0009237",15,0.102,7876,53.458
