"Columna","Fila","Damerau_Levenshtein","Jaccard","Cosine","Hamming","Sorensen_Dice","Jaro_Winkler"
"60","51412",NA,0.0872,0.1701,0.0872,0.1603,NA
"60","23394",NA,0.1439,0.2517,0.1439,0.2515,NA
"51412","23394",NA,0.1176,0.2257,0.1176,0.2105,NA
"60","8289",NA,0.133,0.2446,0.133,0.2348,NA
"51412","8289",NA,0.12,0.2147,0.12,0.2143,NA
"23394","8289",NA,0.1735,0.3108,0.1735,0.2957,NA
"60","57492",NA,0.1679,0.2876,0.1679,0.2875,NA
"51412","57492",NA,0.1143,0.2169,0.1143,0.2051,NA
"23394","57492",NA,0.2235,0.3656,0.2235,0.3653,NA
"8289","57492",NA,0.4788,0.6726,0.4788,0.6475,NA
"60","196528",NA,0.1549,0.2744,0.1549,0.2682,NA
"51412","196528",NA,0.1304,0.2328,0.1304,0.2308,NA
"23394","196528",NA,0.2207,0.3725,0.2207,0.3616,NA
"8289","196528",NA,0.6134,0.7624,0.6134,0.7604,NA
"57492","196528",NA,0.4494,0.6331,0.4494,0.6202,NA
"60","55870",NA,0.1015,0.2071,0.1015,0.1843,NA
"51412","55870",NA,0.1129,0.2051,0.1129,0.2029,NA
"23394","55870",NA,0.1407,0.2812,0.1407,0.2467,NA
"8289","55870",NA,0.1385,0.2484,0.1385,0.2432,NA
"57492","55870",NA,0.1204,0.2405,0.1204,0.215,NA
"196528","55870",NA,0.1408,0.2566,0.1408,0.2469,NA
"60","171023",NA,0.1104,0.1994,0.1104,0.1988,NA
"51412","171023",NA,0.0691,0.141,0.0691,0.1293,NA
"23394","171023",NA,0.1069,0.1934,0.1069,0.1932,NA
"8289","171023",NA,0.0876,0.1719,0.0876,0.1612,NA
"57492","171023",NA,0.13,0.2309,0.13,0.2301,NA
"196528","171023",NA,0.1124,0.2107,0.1124,0.2021,NA
"55870","171023",NA,0.0752,0.1632,0.0752,0.1399,NA
"60","55252",NA,0.1271,0.2698,0.1271,0.2255,NA
"51412","55252",NA,0.087,0.1659,0.087,0.16,NA
"23394","55252",NA,0.1031,0.2275,0.1031,0.1869,NA
"8289","55252",NA,0.125,0.2344,0.125,0.2222,NA
"57492","55252",NA,0.1292,0.2724,0.1292,0.2289,NA
"196528","55252",NA,0.1288,0.247,0.1288,0.2282,NA
