"Fila","Columna","Damerau_Levenshtein","Jaccard","Cosine","Hamming","Sorensen_Dice","Jaro_Winkler","columna_name","fila_name","name"
"9555","7552",NA,0,0,0,0,NA,"ZNF711","MACROH2A1","ZNF711 - MACROH2A1"
"8294","7552",NA,0.0192,0.0465,0.0192,0.0377,NA,"ZNF711","H4C9","ZNF711 - H4C9"
"8367","7552",NA,0.0242,0.084,0.0242,0.0472,NA,"ZNF711","H4C5","ZNF711 - H4C5"
"8364","7552",NA,0.0213,0.0496,0.0213,0.0417,NA,"ZNF711","H4C3","ZNF711 - H4C3"
"8363","7552",NA,0.1034,0.1974,0.1034,0.1875,NA,"ZNF711","H4C11","ZNF711 - H4C11"
"3021","7552",NA,0.0204,0.0483,0.0204,0.04,NA,"ZNF711","H3-3B","ZNF711 - H3-3B"
"3020","7552",NA,0.0405,0.1113,0.0405,0.0779,NA,"ZNF711","H3-3A","ZNF711 - H3-3A"
"3008","7552",NA,0.0303,0.0629,0.0303,0.0588,NA,"ZNF711","H1-4","ZNF711 - H1-4"
"7552","9640",NA,0.0833,0.1557,0.0833,0.1538,NA,"ZNF592","ZNF711","ZNF592 - ZNF711"
"9555","9640",NA,0,0,0,0,NA,"ZNF592","MACROH2A1","ZNF592 - MACROH2A1"
"8294","9640",NA,0.0364,0.0797,0.0364,0.0702,NA,"ZNF592","H4C9","ZNF592 - H4C9"
"8367","9640",NA,0.0565,0.1678,0.0565,0.1069,NA,"ZNF592","H4C5","ZNF592 - H4C5"
"8364","9640",NA,0.0833,0.1698,0.0833,0.1538,NA,"ZNF592","H4C3","ZNF592 - H4C3"
"8363","9640",NA,0.0588,0.1127,0.0588,0.1111,NA,"ZNF592","H4C11","ZNF592 - H4C11"
"3021","9640",NA,0.0189,0.0413,0.0189,0.037,NA,"ZNF592","H3-3B","ZNF592 - H3-3B"
"3020","9640",NA,0.0519,0.1271,0.0519,0.0988,NA,"ZNF592","H3-3A","ZNF592 - H3-3A"
"3008","9640",NA,0.027,0.0538,0.027,0.0526,NA,"ZNF592","H1-4","ZNF592 - H1-4"
"7552","10771",NA,0.125,0.2261,0.125,0.2222,NA,"ZMYND11","ZNF711","ZMYND11 - ZNF711"
"9640","10771",NA,0.069,0.1291,0.069,0.129,NA,"ZMYND11","ZNF592","ZMYND11 - ZNF592"
"9555","10771",NA,0,0,0,0,NA,"ZMYND11","MACROH2A1","ZMYND11 - MACROH2A1"
"8294","10771",NA,0.0741,0.1543,0.0741,0.1379,NA,"ZMYND11","H4C9","ZMYND11 - H4C9"
"8367","10771",NA,0.056,0.1625,0.056,0.1061,NA,"ZMYND11","H4C5","ZMYND11 - H4C5"
"8364","10771",NA,0.1042,0.2055,0.1042,0.1887,NA,"ZMYND11","H4C3","ZMYND11 - H4C3"
"8363","10771",NA,0.1935,0.3273,0.1935,0.3243,NA,"ZMYND11","H4C11","ZMYND11 - H4C11"
"3021","10771",NA,0.0377,0.0801,0.0377,0.0727,NA,"ZMYND11","H3-3B","ZMYND11 - H3-3B"
"3020","10771",NA,0.0789,0.1846,0.0789,0.1463,NA,"ZMYND11","H3-3A","ZMYND11 - H3-3A"
"3008","10771",NA,0.0263,0.0521,0.0263,0.0513,NA,"ZMYND11","H1-4","ZMYND11 - H1-4"
"7552","9203",NA,0.1064,0.2354,0.1064,0.1923,NA,"ZMYM3","ZNF711","ZMYM3 - ZNF711"
"9640","9203",NA,0.0566,0.121,0.0566,0.1071,NA,"ZMYM3","ZNF592","ZMYM3 - ZNF592"
"10771","9203",NA,0.0364,0.0781,0.0364,0.0702,NA,"ZMYM3","ZMYND11","ZMYM3 - ZMYND11"
"9555","9203",NA,0,0,0,0,NA,"ZMYM3","MACROH2A1","ZMYM3 - MACROH2A1"
"8294","9203",NA,0.0779,0.1446,0.0779,0.1446,NA,"ZMYM3","H4C9","ZMYM3 - H4C9"
"8367","9203",NA,0.068,0.145,0.068,0.1274,NA,"ZMYM3","H4C5","ZMYM3 - H4C5"
