"Columna","Fila","Damerau_Levenshtein","Jaccard","Cosine","Hamming","Sorensen_Dice","Jaro_Winkler"
"60","51412",3.4241,0.4121,0.1675,3.5823,0.1906,0.1144
"60","23394",3.5476,0.4151,0.1647,3.625,0.1921,0.1153
"51412","23394",3.5655,0.4066,0.164,3.6369,0.1931,0.1159
"60","8289",3.5316,0.4426,0.1711,3.6076,0.1988,0.1194
"51412","8289",3.573,0.4298,0.1818,3.6742,0.1989,0.1194
"23394","8289",3.4762,0.4117,0.1609,3.6131,0.1881,0.1129
"60","57492",3.3608,0.3962,0.1481,3.462,0.1813,0.1089
"51412","57492",3.4903,0.4279,0.1681,3.5613,0.1931,0.1158
"23394","57492",3.3155,0.4008,0.1551,3.369,0.1803,0.1082
"8289","57492",3.4258,0.4313,0.1624,3.4774,0.1904,0.1142
"60","196528",3.6519,0.4418,0.1672,3.7468,0.1997,0.1199
"51412","196528",3.4757,0.3932,0.163,3.6019,0.1875,0.1125
"23394","196528",3.5952,0.4242,0.1584,3.6964,0.1912,0.1147
"8289","196528",3.1359,0.375,0.1433,3.2136,0.1706,0.1024
"57492","196528",3.4194,0.4275,0.1528,3.5161,0.1877,0.1126
"60","55870",3.4873,0.4143,0.156,3.5823,0.1895,0.1138
"51412","55870",3.5949,0.4265,0.164,3.6962,0.1976,0.1185
"23394","55870",3.5,0.4306,0.1612,3.5833,0.1926,0.1155
"8289","55870",3.5393,0.4175,0.1661,3.573,0.1945,0.1167
"57492","55870",3.5097,0.4281,0.1591,3.5484,0.1914,0.1148
"196528","55870",3.5922,0.4486,0.1711,3.6602,0.1998,0.1199
"60","171023",3.5,0.3882,0.1543,3.5924,0.1857,0.1115
"51412","171023",3.6413,0.426,0.1783,3.7663,0.1985,0.1191
"23394","171023",3.6087,0.4108,0.1597,3.7772,0.1929,0.1157
"8289","171023",3.7391,0.4452,0.1827,3.8098,0.2055,0.1233
"57492","171023",3.5054,0.4099,0.1611,3.5815,0.1879,0.1127
"196528","171023",3.6467,0.4315,0.1693,3.7989,0.1957,0.1174
"55870","171023",3.6033,0.4111,0.1622,3.6957,0.1925,0.1155
"60","55252",3.4304,0.4304,0.1552,3.5316,0.1894,0.1138
"51412","55252",3.3797,0.3887,0.1573,3.519,0.1841,0.1104
"23394","55252",3.4881,0.4116,0.1505,3.5893,0.1848,0.1109
"8289","55252",3.5169,0.4248,0.1631,3.5955,0.1952,0.1171
"57492","55252",3.6065,0.4449,0.1637,3.6645,0.1955,0.1173
"196528","55252",3.5534,0.4361,0.1596,3.6408,0.1956,0.1173
"55870","55252",3.3559,0.3981,0.1403,3.4746,0.1832,0.1099
"171023","55252",3.5652,0.4174,0.1591,3.6848,0.1906,0.1144
"60","80816",3.481,0.4262,0.157,3.5443,0.1882,0.1131
"51412","80816",3.4623,0.4144,0.1594,3.5472,0.19,0.114
"23394","80816",3.5476,0.4051,0.1525,3.6369,0.1868,0.1121
"8289","80816",3.4245,0.4101,0.163,3.4811,0.1907,0.1144
"57492","80816",3.4903,0.4372,0.1633,3.5677,0.1936,0.1162
"196528","80816",3.283,0.4091,0.1542,3.3774,0.1829,0.1097
"55870","80816",3.434,0.4256,0.1572,3.4906,0.1889,0.1133
"171023","80816",3.712,0.4333,0.1697,3.8098,0.1997,0.1198
"55252","80816",3.4057,0.4285,0.1532,3.4811,0.1896,0.1138
"60","472",3.6266,0.4098,0.1578,3.7532,0.1899,0.1141
"51412","472",3.7463,0.434,0.1821,3.8731,0.2043,0.1226
"23394","472",3.6905,0.4227,0.1629,3.8214,0.1957,0.1174
"8289","472",3.6791,0.4159,0.1687,3.791,0.1963,0.1178
"57492","472",3.671,0.442,0.1692,3.7677,0.1991,0.1195
"196528","472",3.7239,0.4086,0.1619,3.8284,0.1944,0.1166
"55870","472",3.597,0.404,0.1554,3.7313,0.1902,0.1141
"171023","472",3.5707,0.426,0.1671,3.6685,0.194,0.1164
"55252","472",3.6194,0.4159,0.1644,3.7313,0.1948,0.1169
"80816","472",3.6343,0.4233,0.1561,3.7463,0.1901,0.1141
"60","1822",3.557,0.4058,0.1566,3.6962,0.188,0.1129
"51412","1822",3.6737,0.4357,0.1797,3.7789,0.2011,0.1206
"23394","1822",3.7262,0.4253,0.1632,3.8393,0.1946,0.1168
"8289","1822",3.6632,0.4422,0.1704,3.8421,0.1997,0.1198
"57492","1822",3.5226,0.4084,0.1565,3.6645,0.1874,0.1124
"196528","1822",3.3592,0.4026,0.1544,3.4272,0.1835,0.1101
"55870","1822",3.5579,0.4354,0.1663,3.6211,0.1979,0.1188
"171023","1822",3.6141,0.4139,0.1603,3.7337,0.1918,0.1151
"55252","1822",3.6316,0.4188,0.1538,3.7263,0.1934,0.116
"80816","1822",3.5472,0.4203,0.155,3.6226,0.1899,0.114
"472","1822",3.6045,0.4102,0.1572,3.7388,0.1901,0.114
"60","545",3.5759,0.4245,0.1623,3.6835,0.1953,0.1173
"51412","545",3.6071,0.4415,0.1753,3.6667,0.2016,0.121
"23394","545",3.6726,0.4288,0.1625,3.7381,0.1984,0.119
"8289","545",3.6629,0.4376,0.1768,3.7303,0.199,0.1194
"57492","545",3.471,0.4191,0.1626,3.5161,0.1897,0.1138
"196528","545",3.5437,0.4304,0.1641,3.6214,0.1965,0.1179
"55870","545",3.6071,0.426,0.158,3.7024,0.1937,0.1162
"171023","545",3.6359,0.4195,0.1648,3.7391,0.194,0.1164
"55252","545",3.5595,0.4406,0.1628,3.6905,0.1966,0.1179
"80816","545",3.6698,0.4356,0.16,3.7264,0.1964,0.1178
"472","545",3.6716,0.4316,0.1733,3.7612,0.1977,0.1186
"1822","545",3.6421,0.4364,0.1668,3.7579,0.1954,0.1172
"60","546",3.4852,0.4213,0.1505,3.5738,0.1861,0.1119
"51412","546",3.616,0.4187,0.1683,3.7257,0.1943,0.1167
