"Fila","Columna","Damerau_Levenshtein","Jaccard","Cosine","Hamming","Sorensen_Dice","Jaro_Winkler","columna_name","fila_name","name"
9555,7552,NA,0,0,0,0,NA,"ZNF711","MACROH2A1","ZNF711 - MACROH2A1"
8294,7552,NA,0.0179,0.0418,0.0179,0.0351,NA,"ZNF711","H4C9","ZNF711 - H4C9"
8367,7552,NA,0.0234,0.0766,0.0234,0.0458,NA,"ZNF711","H4C5","ZNF711 - H4C5"
8364,7552,NA,0.0196,0.0444,0.0196,0.0385,NA,"ZNF711","H4C3","ZNF711 - H4C3"
8363,7552,NA,0.0909,0.1735,0.0909,0.1667,NA,"ZNF711","H4C11","ZNF711 - H4C11"
3021,7552,NA,0.0189,0.0433,0.0189,0.037,NA,"ZNF711","H3-3B","ZNF711 - H3-3B"
3020,7552,NA,0.039,0.1017,0.039,0.075,NA,"ZNF711","H3-3A","ZNF711 - H3-3A"
3008,7552,NA,0.0263,0.0544,0.0263,0.0513,NA,"ZNF711","H1-4","ZNF711 - H1-4"
7552,9640,NA,0.0769,0.1432,0.0769,0.1429,NA,"ZNF592","ZNF711","ZNF592 - ZNF711"
9555,9640,NA,0,0,0,0,NA,"ZNF592","MACROH2A1","ZNF592 - MACROH2A1"
8294,9640,NA,0.0351,0.0778,0.0351,0.0678,NA,"ZNF592","H4C9","ZNF592 - H4C9"
8367,9640,NA,0.0556,0.1664,0.0556,0.1053,NA,"ZNF592","H4C5","ZNF592 - H4C5"
8364,9640,NA,0.08,0.1654,0.08,0.1481,NA,"ZNF592","H4C3","ZNF592 - H4C3"
8363,9640,NA,0.0556,0.1077,0.0556,0.1053,NA,"ZNF592","H4C11","ZNF592 - H4C11"
3021,9640,NA,0.0182,0.0403,0.0182,0.0357,NA,"ZNF592","H3-3B","ZNF592 - H3-3B"
3020,9640,NA,0.0513,0.1262,0.0513,0.0976,NA,"ZNF592","H3-3A","ZNF592 - H3-3A"
3008,9640,NA,0.025,0.0506,0.025,0.0488,NA,"ZNF592","H1-4","ZNF592 - H1-4"
7552,10771,NA,0.1071,0.1961,0.1071,0.1935,NA,"ZMYND11","ZNF711","ZMYND11 - ZNF711"
9640,10771,NA,0.0645,0.1217,0.0645,0.1212,NA,"ZMYND11","ZNF592","ZMYND11 - ZNF592"
9555,10771,NA,0,0,0,0,NA,"ZMYND11","MACROH2A1","ZMYND11 - MACROH2A1"
8294,10771,NA,0.1071,0.2132,0.1071,0.1935,NA,"ZMYND11","H4C9","ZMYND11 - H4C9"
8367,10771,NA,0.0709,0.1953,0.0709,0.1324,NA,"ZMYND11","H4C5","ZMYND11 - H4C5"
8364,10771,NA,0.1176,0.2265,0.1176,0.2105,NA,"ZMYND11","H4C3","ZMYND11 - H4C3"
8363,10771,NA,0.2059,0.344,0.2059,0.3415,NA,"ZMYND11","H4C11","ZMYND11 - H4C11"
3021,10771,NA,0.0727,0.1472,0.0727,0.1356,NA,"ZMYND11","H3-3B","ZMYND11 - H3-3B"
3020,10771,NA,0.0897,0.2016,0.0897,0.1647,NA,"ZMYND11","H3-3A","ZMYND11 - H3-3A"
3008,10771,NA,0.0476,0.0925,0.0476,0.0909,NA,"ZMYND11","H1-4","ZMYND11 - H1-4"
7552,9203,NA,0.098,0.2115,0.098,0.1786,NA,"ZMYM3","ZNF711","ZMYM3 - ZNF711"
9640,9203,NA,0.0545,0.1181,0.0545,0.1034,NA,"ZMYM3","ZNF592","ZMYM3 - ZNF592"
10771,9203,NA,0.0517,0.1078,0.0517,0.0984,NA,"ZMYM3","ZMYND11","ZMYM3 - ZMYND11"
9555,9203,NA,0,0,0,0,NA,"ZMYM3","MACROH2A1","ZMYM3 - MACROH2A1"
8294,9203,NA,0.0875,0.1609,0.0875,0.1609,NA,"ZMYM3","H4C9","ZMYM3 - H4C9"
8367,9203,NA,0.0733,0.1544,0.0733,0.1366,NA,"ZMYM3","H4C5","ZMYM3 - H4C5"
8364,9203,NA,0.025,0.0488,0.025,0.0488,NA,"ZMYM3","H4C3","ZMYM3 - H4C3"
8363,9203,NA,0.082,0.159,0.082,0.1515,NA,"ZMYM3","H4C11","ZMYM3 - H4C11"
3021,9203,NA,0.0909,0.1667,0.0909,0.1667,NA,"ZMYM3","H3-3B","ZMYM3 - H3-3B"
