"Fila","Columna","Jaccard","Jaccard Parents","Jaccard Children","columna_name","fila_name"
"10013","51010",0,0,0,"EXOSC3","HDAC6"
"10013","55250",0.0408,0.0909,0,"ELP2","HDAC6"
"10013","9775",0.0411,0.0606,0.0278,"EIF4A3","HDAC6"
"10013","1105",0.0526,0.0769,0.037,"CHD1","HDAC6"
"10013","472",0.006,0.0083,0,"ATM","HDAC6"
"10013","286204",0.0143,0.0312,0,"CRB2","HDAC6"
"10013","23476",0.0497,0.0455,0.0606,"BRD4","HDAC6"
"10013","8450",0.0648,0.0526,0.0833,"CUL4B","HDAC6"
"10013","9031",0.0234,0.0214,0.0282,"BAZ1B","HDAC6"
"10013","2033",0.0294,0.0268,0.0348,"EP300","HDAC6"
"10013","1660",0.0469,0.0357,0.0645,"DHX9","HDAC6"
"10013","1642",0.0513,0.037,0.0667,"DDB1","HDAC6"
"10013","55636",0.0231,0.0309,0.0109,"CHD7","HDAC6"
"10013","23404",0.0556,0.0588,0.0588,"EXOSC2","HDAC6"
"10013","2146",0.0476,0.0597,0.0364,"EZH2","HDAC6"
"10013","26038",0.0926,0.08,0.12,"CHD5","HDAC6"
"10013","11113",0.0429,0.0857,0,"CIT","HDAC6"
"10013","57680",0.032,0.0476,0.0185,"CHD8","HDAC6"
"10013","11340",0,0,0,"EXOSC8","HDAC6"
"10013","26610",0,0,0,"ELP4","HDAC6"
"10013","2074",0.0319,0.0361,0.0189,"ERCC6","HDAC6"
"10013","1106",0.0288,0.0345,0.0244,"CHD2","HDAC6"
"10013","1108",0.058,0.0882,0.0312,"CHD4","HDAC6"
"10013","2066",0,0,0,"ERBB4","HDAC6"
"10013","2186",0.0485,0.06,0.04,"BPTF","HDAC6"
"10013","51412",0.0275,0.0317,0.025,"ACTL6B","HDAC6"
"10013","196528",0.0709,0.0563,0.0962,"ARID2","HDAC6"
"10013","171023",0.0188,0.0248,0.0115,"ASXL1","HDAC6"
"10013","990",0.0543,0.0909,0.0227,"CDC6","HDAC6"
"10013","8314",0.02,0.0172,0.0263,"BAP1","HDAC6"
"10013","8289",0.0609,0.0615,0.0638,"ARID1A","HDAC6"
"10013","254065",0.0909,0.1053,0.1,"BRWD3","HDAC6"
"10013","8452",0.0161,0,0.0323,"CUL3","HDAC6"
"10013","55252",0.0533,0.0789,0.0303,"ASXL2","HDAC6"
"10013","9759",0.0429,0.0411,0.0508,"HDAC4","HDAC6"
"10013","1822",0.024,0.0317,0.0196,"ATN1","HDAC6"
"10013","56915",0.038,0.0435,0.0345,"EXOSC5","HDAC6"
"10013","1387",0.0351,0.025,0.0504,"CREBBP","HDAC6"
"10013","1487",0.0387,0.045,0.0308,"CTBP1","HDAC6"
