"hpo_id","hpo_name"
"HP:0000588","Optic disc coloboma"
"HP:0011228","Horizontal eyebrow"
"HP:0000582","Upslanted palpebral fissure"
"HP:0000506","Telecanthus"
"HP:0001845","Overlapping toe"
"HP:0005487","Prominent metopic ridge"
"HP:0000431","Wide nasal bridge"
"HP:0000414","Bulbous nose"
"HP:0000445","Wide nose"
"HP:0000448","Prominent nose"
"HP:0000437","Depressed nasal tip"
"HP:0000465","Webbed neck"
"HP:0000470","Short neck"
"HP:0000455","Broad nasal tip"
"HP:0000463","Anteverted nares"
"HP:0000490","Deeply set eye"
"HP:0000494","Downslanted palpebral fissures"
"HP:0000482","Microcornea"
"HP:0000303","Mandibular prognathia"
"HP:0000307","Pointed chin"
"HP:0000316","Hypertelorism"
"HP:0001650","Aortic valve stenosis"
"HP:0000348","High forehead"
"HP:0000343","Long philtrum"
"HP:0000369","Low-set ears"
"HP:0000358","Posteriorly rotated ears"
"HP:0001518","Small for gestational age"
"HP:0001537","Umbilical hernia"
"HP:0001561","Polyhydramnios"
"HP:0000219","Thin upper lip vermilion"
"HP:0000243","Trigonocephaly"
"HP:0000293","Full cheeks"
"HP:4000170","Anti-platelet antigen antibody positivity"
"HP:0012813","Unilateral breast hypoplasia"
"HP:0000891","Cervical ribs"
"HP:0003189","Long nose"
"HP:0100308","Cerebral cortical hemiatrophy"
"HP:0003196","Short nose"
"HP:0012905","Euryblepharon"
"HP:0031959","Leg dystonia"
"HP:0000664","Synophrys"
"HP:0011342","Mild global developmental delay"
"HP:0000612","Iris coloboma"
"HP:0000637","Long palpebral fissure"
"HP:0002326","Transient ischemic attack"
"HP:0007024","Pseudobulbar paralysis"
"HP:0010553","Oculogyric crisis"
"HP:0002162","Low posterior hairline"
"HP:0100578","Lipoatrophy"
"HP:0007325","Generalized dystonia"
"HP:0003724","Shoulder girdle muscle atrophy"
"HP:0001256","Intellectual disability, mild"
"HP:0002558","Supernumerary nipple"
"HP:0002571","Achalasia"
"HP:0002553","Highly arched eyebrow"
"HP:0000064","Hypoplastic labia minora"
"HP:0000054","Micropenis"
"HP:0008796","Femoral retroversion"
"HP:0032438","Platelet anisocytosis"
"HP:0000154","Wide mouth"
"HP:0000126","Hydronephrosis"
"HP:0002000","Short columella"
"HP:0011800","Midface retrusion"
"HP:0011220","Prominent forehead"
"HP:0012469","Infantile spasms"
"HP:0000337","Broad forehead"
"HP:0000717","Autism"
"HP:0006986","Upper limb spasticity"
"HP:0000668","Hypodontia"
"HP:0011344","Severe global developmental delay"
"HP:0010864","Intellectual disability, severe"
"HP:0002421","Poor head control"
"HP:0002521","Hypsarrhythmia"
"HP:0001344","Absent speech"
"HP:0008936","Axial hypotonia"
"HP:0002020","Gastroesophageal reflux"
"HP:0002136","Broad-based gait"
"HP:0002188","Delayed CNS myelination"
"HP:0100710","Impulsivity"
"HP:0002283","Global brain atrophy"
"HP:0007018","Attention deficit hyperactivity disorder"
"HP:0010844","EEG with multifocal slow activity"
"HP:0001852","Sandal gap"
"HP:0000411","Protruding ear"
"HP:0012420","Meconium stained amniotic fluid"
"HP:0012450","Chronic constipation"
"HP:0005280","Depressed nasal bridge"
"HP:0006610","Wide intermamillary distance"
"HP:0001653","Mitral regurgitation"
"HP:0000331","Short chin"
"HP:0000319","Smooth philtrum"
"HP:0005216","Impaired mastication"
"HP:0000378","Cupped ear"
"HP:0002835","Aspiration"
"HP:0000232","Everted lower lip vermilion"
"HP:0006385","Short lower limbs"
"HP:0000276","Long face"
"HP:0000283","Broad face"
"HP:0008093","Short 4th toe"
"HP:0045025","Narrow palpebral fissure"
"HP:0000963","Thin skin"
"HP:0010296","Ankyloglossia"
"HP:0000817","Reduced eye contact"
"HP:0011471","Gastrostomy tube feeding in infancy"
"HP:0000737","Irritability"
"HP:0012745","Short palpebral fissure"
"HP:0006956","Lateral ventricle dilatation"
"HP:0000670","Carious teeth"
"HP:0011327","Posterior plagiocephaly"
"HP:0011343","Moderate global developmental delay"
"HP:0012683","Pineal cyst"
"HP:0000646","Amblyopia"
"HP:0200055","Small hand"
"HP:0010677","Enuresis nocturna"
"HP:0200136","Oral-pharyngeal dysphagia"
"HP:0100704","Cerebral visual impairment"
"HP:0001182","Tapered finger"
"HP:0001118","Juvenile cataract"
"HP:0002591","Polyphagia"
"HP:0002572","Episodic vomiting"
"HP:0001212","Prominent fingertip pads"
"HP:0000023","Inguinal hernia"
"HP:0000179","Thick lower lip vermilion"
"HP:0007651","Ectropion of lower eyelids"
"HP:0008947","Infantile muscular hypotonia"
"HP:0008935","Generalized neonatal hypotonia"
"HP:0002705","High, narrow palate"
"HP:0000105","Enlarged kidney"
"HP:0004691","2-3 toe syndactyly"
"HP:0002028","Chronic diarrhea"
"HP:0012523","Oral aversion"
"HP:0000574","Thick eyebrow"
"HP:0011231","Prominent eyelashes"
"HP:0000322","Short philtrum"
"HP:0002895","Papillary thyroid carcinoma"
"HP:0002884","Hepatoblastoma"
"HP:0000289","Broad philtrum"
"HP:0000294","Low anterior hairline"
"HP:0012810","Wide nasal base"
"HP:0009928","Thick nasal alae"
"HP:0009879","Simplified gyral pattern"
"HP:0000085","Horseshoe kidney"
"HP:0001305","Dandy-Walker malformation"
"HP:0002033","Poor suck"
"HP:0011937","Hypoplastic fifth toenail"
"HP:0200105","Absent fifth toenail"
"HP:0200104","Absent fifth fingernail"
"HP:0008398","Hypoplastic fifth fingernail"
"HP:0002342","Intellectual disability, moderate"
